0,1,2,3,4,5
"Grupo Financiero BBVA Bancomer, S.A. de C.V.",Jun,Sep,Dic,Mar,Jun
Millones de pesos,2020,2020,2020,2021,2021
DISPONIBILIDADES,"181,837","218,704","223,687","256,252","308,121"
Cuentas de margen,"25,838","26,005","32,261","19,360","15,282"
INVERSIONES EN VALORES,"730,843","797,137","804,360","821,306","838,798"
Títulos para negociar,"362,401","398,852","386,578","376,565","403,571"
Títulos disponibles para la venta,"185,134","209,625","227,761","247,707","247,419"
Títulos conservados a vencimiento,"183,308","188,660","190,021","197,034","187,808"
Deudores por reporto,"13,885","10,655","23,314","5,143","7,154"
Derivados,"290,139","228,687","213,927","156,947","145,882"
Con Fines de Negociación,"266,614","208,343","197,606","143,297","132,680"
Con Fines de Cobertura,"23,525","20,344","16,321","13,650","13,202"
Ajustes de valuación por cobertura de activos financieros,"2,401","2,129","2,488","1,097","1,102"
TOTAL CARTERA DE CREDITO VIGENTE,"1,281,447","1,253,281","1,211,829","1,229,328","1,236,351"
Créditos comerciales,"749,098","717,641","678,572","694,679","689,817"
Actividad empresarial o comercial,"570,758","534,926","488,878","496,702","499,068"
Entidades financieras,"28,600","26,762","28,079","24,558","24,156"
Entidades gubernamentales,"149,740","155,953","161,615","173,419","166,593"
Créditos de consumo,"289,983","290,740","284,348","281,630","287,938"
Créditos a la vivienda,"242,366","244,900","248,909","253,019","258,596"
Media y residencial,"233,339","237,505","241,968","246,255","252,158"
De interés social,"9,027","7,395","6,941","6,764","6,438"
TOTAL CARTERA DE CREDITO VENCIDA,"25,017","25,940","37,484","32,980","30,100"
Créditos comerciales,"10,243","9,932","11,983","12,131","12,386"
Actividad empresarial o comercial,"10,243","9,932","11,983","12,131","12,375"
Entidades gubernamentales,0,0,0,0,11
Créditos de consumo,"8,317","7,778","16,147","11,614","8,837"
Créditos a la vivienda,"6,457","8,230","9,354","9,235","8,877"
Media y residencial,"5,992","7,729","8,824","8,747","8,448"
De interés social,465,501,530,488,429
TOTAL CARTERA DE CREDITO,"1,306,464","1,279,221","1,249,313","1,262,308","1,266,451"
Estimación preventiva para riesgos crediticios,"(41,922)","(41,563)","(48,348)","(45,418)","(42,706)"
TOTAL DE CARTERA DE CREDITO (NETO),"1,264,542","1,237,658","1,200,965","1,216,890","1,223,745"
Deudores por primas (neto),"7,132","6,840","7,528","9,198","9,062"
Cuentas por cobrar a reaseguradores y reafianzadores (neto),710,707,"1,316","1,404","3,680"
Otras cuentas por cobrar (neto),"106,563","96,805","107,286","119,224","147,477"
Bienes adjudicados (neto),"1,334","1,415","1,317","1,241","1,188"
"Inmuebles, mobiliario y equipo (neto)","36,908","36,272","36,386","35,642","35,233"
Inversiones permanentes,"1,139","1,446","1,333","1,357","1,293"
Activos de larga duración disponibles para la venta,0,0,107,0,0
Impuestos y PTU diferidos (neto),"21,293","22,828","24,223","25,799","25,184"
Otros activos,"23,898","22,047","24,054","17,534","16,580"
"Cargos diferidos, pagos anticipados e intangibles","23,898","22,047","24,054","17,534","16,580"
TOTAL ACTIVO,"2,708,462","2,709,335","2,704,552","2,688,394","2,779,781"
