trimester_date,bank_name,table_name,short_descripction,T_0_feature_value,T_1_feature_value,T_2_feature_value,T_3_feature_value,T_4_feature_value
2021T2,BBVA,Balance General Activo,"Grupo Financiero BBVA Bancomer, S.A. de C.V.",Jun,Mar,Dic,Sep,Jun
2021T2,BBVA,Balance General Activo,Millones de pesos,2021,2021,2020,2020,2020
2021T2,BBVA,Balance General Activo,DISPONIBILIDADES,"308,121","256,252","223,687","218,704","181,837"
2021T2,BBVA,Balance General Activo,Cuentas de margen,"15,282","19,360","32,261","26,005","25,838"
2021T2,BBVA,Balance General Activo,INVERSIONES EN VALORES,"838,798","821,306","804,360","797,137","730,843"
2021T2,BBVA,Balance General Activo,Títulos para negociar,"403,571","376,565","386,578","398,852","362,401"
2021T2,BBVA,Balance General Activo,Títulos disponibles para la venta,"247,419","247,707","227,761","209,625","185,134"
2021T2,BBVA,Balance General Activo,Títulos conservados a vencimiento,"187,808","197,034","190,021","188,660","183,308"
2021T2,BBVA,Balance General Activo,Deudores por reporto,"7,154","5,143","23,314","10,655","13,885"
2021T2,BBVA,Balance General Activo,Derivados,"145,882","156,947","213,927","228,687","290,139"
2021T2,BBVA,Balance General Activo,Con Fines de Negociación,"132,680","143,297","197,606","208,343","266,614"
2021T2,BBVA,Balance General Activo,Con Fines de Cobertura,"13,202","13,650","16,321","20,344","23,525"
2021T2,BBVA,Balance General Activo,Ajustes de valuación por cobertura de activos financieros,"1,102","1,097","2,488","2,129","2,401"
2021T2,BBVA,Balance General Activo,TOTAL CARTERA DE CREDITO VIGENTE,"1,236,351","1,229,328","1,211,829","1,253,281","1,281,447"
2021T2,BBVA,Balance General Activo,Créditos comerciales,"689,817","694,679","678,572","717,641","749,098"
2021T2,BBVA,Balance General Activo,Actividad empresarial o comercial,"499,068","496,702","488,878","534,926","570,758"
2021T2,BBVA,Balance General Activo,Entidades financieras,"24,156","24,558","28,079","26,762","28,600"
2021T2,BBVA,Balance General Activo,Entidades gubernamentales,"166,593","173,419","161,615","155,953","149,740"
2021T2,BBVA,Balance General Activo,Créditos de consumo,"287,938","281,630","284,348","290,740","289,983"
2021T2,BBVA,Balance General Activo,Créditos a la vivienda,"258,596","253,019","248,909","244,900","242,366"
2021T2,BBVA,Balance General Activo,Media y residencial,"252,158","246,255","241,968","237,505","233,339"
2021T2,BBVA,Balance General Activo,De interés social,"6,438","6,764","6,941","7,395","9,027"
2021T2,BBVA,Balance General Activo,TOTAL CARTERA DE CREDITO VENCIDA,"30,100","32,980","37,484","25,940","25,017"
2021T2,BBVA,Balance General Activo,Créditos comerciales,"12,386","12,131","11,983","9,932","10,243"
2021T2,BBVA,Balance General Activo,Actividad empresarial o comercial,"12,375","12,131","11,983","9,932","10,243"
2021T2,BBVA,Balance General Activo,Entidades gubernamentales,11,0,0,0,0
2021T2,BBVA,Balance General Activo,Créditos de consumo,"8,837","11,614","16,147","7,778","8,317"
2021T2,BBVA,Balance General Activo,Créditos a la vivienda,"8,877","9,235","9,354","8,230","6,457"
2021T2,BBVA,Balance General Activo,Media y residencial,"8,448","8,747","8,824","7,729","5,992"
2021T2,BBVA,Balance General Activo,De interés social,429,488,530,501,465
2021T2,BBVA,Balance General Activo,TOTAL CARTERA DE CREDITO,"1,266,451","1,262,308","1,249,313","1,279,221","1,306,464"
2021T2,BBVA,Balance General Activo,Estimación preventiva para riesgos crediticios,"(42,706)","(45,418)","(48,348)","(41,563)","(41,922)"
2021T2,BBVA,Balance General Activo,TOTAL DE CARTERA DE CREDITO (NETO),"1,223,745","1,216,890","1,200,965","1,237,658","1,264,542"
2021T2,BBVA,Balance General Activo,Deudores por primas (neto),"9,062","9,198","7,528","6,840","7,132"
2021T2,BBVA,Balance General Activo,Cuentas por cobrar a reaseguradores y reafianzadores (neto),"3,680","1,404","1,316",707,710
2021T2,BBVA,Balance General Activo,Otras cuentas por cobrar (neto),"147,477","119,224","107,286","96,805","106,563"
2021T2,BBVA,Balance General Activo,Bienes adjudicados (neto),"1,188","1,241","1,317","1,415","1,334"
2021T2,BBVA,Balance General Activo,"Inmuebles, mobiliario y equipo (neto)","35,233","35,642","36,386","36,272","36,908"
2021T2,BBVA,Balance General Activo,Inversiones permanentes,"1,293","1,357","1,333","1,446","1,139"
2021T2,BBVA,Balance General Activo,Activos de larga duración disponibles para la venta,0,0,107,0,0
2021T2,BBVA,Balance General Activo,Impuestos y PTU diferidos (neto),"25,184","25,799","24,223","22,828","21,293"
2021T2,BBVA,Balance General Activo,Otros activos,"16,580","17,534","24,054","22,047","23,898"
2021T2,BBVA,Balance General Activo,"Cargos diferidos, pagos anticipados e intangibles","16,580","17,534","24,054","22,047","23,898"
2021T2,BBVA,Balance General Activo,TOTAL ACTIVO,"2,779,781","2,688,394","2,704,552","2,709,335","2,708,462"
