0,1,2,3,4
"Grupo Financiero BBVA Bancomer, S.A. de C.V.",,,,
"Junio 2021, Millones de pesos",,,,
Clientes cuentas corrientes,"8,844",Cuentas de riesgo propias,"5,196,328",
Bancos de clientes,362,Activos y Pasivos Contingentes,942,
Liquidación de operaciones de clientes,"8,482",Compromisos Crediticios,"632,070",
Premios de clientes,0,Bienes en fideicomiso o mandato,"430,531",
Valores de clientes,"1,643,532",     Mandatos,233,
Valores y documentos recibidos en garantía,12,     Fideicomisos,"430,298",
Valores de clientes recibidos en custodia,"1,643,520",Bienes en custodia o en administración,"225,194",
Operaciones por cuenta de clientes,121,Colaterales recibidos por la entidad  ,"92,679",
Operaciones de reporto de clientes,56,Colaterales recibidos y vendidos o entregados en gtía. por la entidad ,"83,144",
Colaterales recibidos en garantía por cuenta de clientes,65,Intereses devengados no cobrados derivados de cartera de crédito vda.,"3,424",
Operaciones de préstamos de valores de clientes,0,Otras cuentas de registro,"3,728,344",
Operaciones de banca de inversión por cuenta de terceros (neto),"1,808,667",,,
Totales por cuenta de terceros,"3,461,164",Totales por cuenta propia,     ,"5,196,328"
Capital social histórico,"1,020",Acciones entregadas en custodia (unidades),"15,854,682,820",
