0,1,2,3,4
"Múltiple, Grupo Financiero BBVA Bancomer",entidades,hipotecaria,consumo,
,financieras,,,
Movimientos de la Cartera Vencida,,,,
Millones de pesos,,,,
Saldo Final (Diciembre 2020),"11,983","9,354","16,147","37,484"
Entradas:,"4,226","4,805","16,303","25,334"
Traspaso de vigente y reestructurados,"4,226","4,805","16,303","25,334"
Salidas:,"(3,823)","(5,282)","(23,613)","(32,718)"
Traspasos a vigente,(477),"(3,586)","(2,287)","(6,350)"
Liquidaciones en efectivo,"(1,189)",(419),"(1,720)","(3,328)"
Reestructurados (Liquidaciones en efectivo),(167),(36),(55),(258)
Dación y/o adjudicación,(128),(43),0,(171)
Quitas,(530),(105),"(1,374)","(2,009)"
Castigos,"(1,332)","(1,093)","(18,177)","(20,602)"
Saldo Final (Junio 2021),"12,386","8,877","8,837","30,100"
